Boss	Run 1	Run 2	Run 3	Run 4	Run 5	Run 6	Run 7	Run 8	Run 9	Run 10	Run 11	Run 12	Run 13													
EXP	돈	EXP	돈	EXP	돈	EXP	돈	EXP	돈	EXP	돈	EXP	돈	EXP	돈	EXP	돈	EXP	돈	EXP	돈	EXP	돈	EXP	돈	
메크	400	1,000	800	2,000	1,040	2,600	1,280	3,200	1,520	3,800	1,760	4,400	2,000	5,000	2,240	5,600	2,480	6,200	2,720	6,800	2,960	7,400	3,200	8,000	3,440	8,600
타리미어	700	1,800	1,399	3,500	1,819	4,500	2,238	5,600	2,658	6,600	3,078	7,700	3,498	8,700	3,917	9,800	4,337	10,800	4,757	11,900	5,176	12,900	5,596	14,000	6,016	15,000
아사반	1,223	3,100	2,446	6,100	3,180	8,000	3,914	9,800	4,647	11,600	5,381	13,500	6,115	15,300	6,849	17,100	7,583	19,000	8,316	20,800	9,050	22,600	9,784	24,500	10,518	26,300
워자스	2,139	5,300	4,278	10,700	5,561	13,900	6,845	17,100	8,128	20,300	9,412	23,500	10,695	26,700	11,978	29,900	13,262	33,200	14,545	36,400	15,829	39,600	17,112	42,800	18,395	46,000
지킨드레드	3,740	9,400	7,480	18,700	9,724	24,300	11,968	29,900	14,212	35,500	16,456	41,100	18,700	46,800	20,944	52,400	23,188	58,000	25,432	63,600	27,676	69,200	29,920	74,800	32,164	80,400
네를베르스	6,541	16,400	13,081	32,700	17,005	42,500	20,930	52,300	24,854	62,100	28,778	71,900	32,703	81,800	36,627	91,600	40,551	101,400	44,475	111,200	48,400	121,000	52,324	130,800	56,248	140,600
스켈렌더	11,437	28,600	22,874	57,200	29,736	74,300	36,598	91,500	43,461	108,700	50,323	125,800	57,185	143,000	64,047	160,100	70,909	177,300	77,772	194,400	84,634	211,600	91,496	228,700	98,358	245,900
배헤메스	20,000	50,000	40,000	100,000	52,000	130,000	64,000	160,000	76,000	190,000	88,000	220,000	100,000	250,000	112,000	280,000	124,000	310,000	136,000	340,000	148,000	370,000	160,000	400,000	172,000	430,000
