Level,Next_Level_Required_EXP,Divided_by_20,Cumulative_EXP
1,100,5,0
2,101,5,100
3,102,5.1,201
4,103,5.2,303
5,103,5.2,406
6,104,5.2,509
7,105,5.2,613
8,106,5.3,718
9,107,5.3,824
10,108,5.4,931
11,109,5.5,1039
12,110,5.5,1148
13,111,5.5,1258
14,112,5.6,1369
15,113,5.7,1481
16,114,5.7,1594
17,115,5.8,1708
18,116,5.8,1823
19,117,5.8,1939
20,118,5.9,2056
21,119,6,2174
22,120,6,2293
23,121,6,2413
24,122,6.1,2534
25,123,6.2,2656
26,124,6.2,2779
27,125,6.2,2903
28,126,6.3,3028
29,127,6.3,3154
30,128,6.4,3281
31,129,6.5,3409
32,130,6.5,3538
33,131,6.5,3668
34,132,6.6,3799
35,134,6.7,3931
36,135,6.8,4065
37,136,6.8,4200
38,137,6.8,4336
39,138,6.9,4473
40,139,7,4611
41,141,7,4750
42,142,7.1,4891
43,143,7.2,5033
44,144,7.2,5176
45,146,7.3,5320
46,147,7.3,5466
47,148,7.4,5613
48,149,7.5,5761
49,151,7.5,5910
50,152,7.6,6061
51,153,7.7,6213
52,154,7.7,6366
53,156,7.8,6520
54,157,7.8,6676
55,158,7.9,6833
56,160,8,6991
57,161,8.1,7151
58,163,8.2,7312
59,164,8.2,7475
60,165,8.2,7639
61,167,8.3,7804
62,168,8.4,7971
63,170,8.5,8139
64,171,8.6,8309
65,173,8.7,8480
66,174,8.7,8653
67,176,8.8,8827
68,177,8.8,9003
69,179,8.9,9180
70,180,9,9359
71,182,9.1,9539
72,183,9.2,9721
73,185,9.2,9904
74,186,9.3,10089
75,188,9.4,10275
76,190,9.5,10463
77,191,9.6,10653
78,193,9.7,10844
79,194,9.7,11037
80,196,9.8,11231
81,198,9.9,11427
82,199,9.9,11625
83,201,10.1,11824
84,203,10.2,12025
85,205,10.2,12228
86,206,10.3,12433
87,208,10.4,12639
88,210,10.5,12847
89,212,10.6,13057
90,214,10.7,13269
91,215,10.8,13483
92,217,10.8,13698
93,219,10.9,13915
94,221,11.1,14134
95,223,11.2,14355
96,225,11.2,14578
97,227,11.3,14803
98,229,11.4,15030
99,231,11.6,15259
100,233,11.7,15490
101,235,11.8,15723
102,237,11.8,15958
103,239,11.9,16195
104,241,12.1,16434
105,243,12.2,16675
106,245,12.2,16918
107,247,12.3,17163
108,249,12.4,17410
109,251,12.6,17659
110,253,12.7,17910
111,255,12.8,18163
112,258,12.9,18418
113,260,13,18676
114,262,13.1,18936
115,264,13.2,19198
116,267,13.3,19462
117,269,13.4,19729
118,271,13.6,19998
119,273,13.7,20269
120,276,13.8,20542
121,278,13.9,20818
122,281,14.1,21096
123,283,14.2,21377
124,285,14.2,21660
125,288,14.4,21945
126,290,14.5,22233
127,293,14.7,22523
128,295,14.8,22816
129,298,14.9,23111
130,300,15,23409
131,303,15.2,23709
132,306,15.3,24012
133,308,15.4,24318
134,311,15.6,24626
135,313,15.7,24937
136,316,15.8,25250
137,319,15.9,25566
138,322,16.1,25885
139,324,16.2,26207
140,327,16.4,26531
141,330,16.5,26858
142,333,16.6,27188
143,336,16.8,27521
144,338,16.9,27857
145,341,17.1,28195
146,344,17.2,28536
147,347,17.4,28880
148,350,17.5,29227
149,353,17.6,29577
150,356,17.8,29930
151,359,17.9,30286
152,362,18.1,30645
153,365,18.2,31007
154,369,18.4,31372
155,372,18.6,31741
156,375,18.8,32113
157,378,18.9,32488
158,381,19.1,32866
159,385,19.2,33247
160,388,19.4,33632
161,391,19.6,34020
162,395,19.8,34411
163,398,19.9,34806
164,401,20.1,35204
165,405,20.2,35605
166,408,20.4,36010
167,412,20.6,36418
168,415,20.8,36830
169,419,20.9,37245
170,422,21.1,37664
171,426,21.3,38086
172,430,21.5,38512
173,433,21.6,38942
174,437,21.9,39375
175,441,22.1,39812
176,445,22.2,40253
177,448,22.4,40698
178,452,22.6,41146
179,456,22.8,41598
180,460,23,42054
181,464,23.2,42514
182,468,23.4,42978
183,472,23.6,43446
184,476,23.8,43918
185,480,24,44394
186,484,24.2,44874
187,488,24.4,45358
188,492,24.6,45846
189,497,24.9,46338
190,501,25.1,46835
191,505,25.2,47336
192,510,25.5,47841
193,514,25.7,48351
194,518,25.9,48865
195,523,26.1,49383
196,527,26.4,49906
197,532,26.6,50433
198,536,26.8,50965
199,541,27.1,51501
200,546,27.3,52042
201,550,27.5,52588
202,555,27.8,53138
203,560,28,53693
204,564,28.2,54253
205,569,28.4,54817
206,574,28.7,55386
207,579,28.9,55960
208,584,29.2,56539
209,589,29.4,57123
210,594,29.7,57712
211,599,29.9,58306
212,604,30.2,58905
213,609,30.4,59509
214,615,30.8,60118
215,620,31,60733
216,625,31.2,61353
217,631,31.6,61978
218,636,31.8,62609
219,641,32,63245
220,647,32.4,63886
221,653,32.6,64533
222,658,32.9,65186
223,664,33.2,65844
224,669,33.5,66508
225,675,33.8,67177
226,681,34,67852
227,687,34.4,68533
228,693,34.6,69220
229,699,35,69913
230,705,35.2,70612
231,711,35.5,71317
232,717,35.9,72028
233,723,36.1,72745
234,729,36.5,73468
235,735,36.8,74197
236,742,37.1,74932
237,748,37.4,75674
238,754,37.7,76422
239,761,38,77176
240,767,38.4,77937
241,774,38.7,78704
242,780,39,79478
243,787,39.4,80258
244,794,39.7,81045
245,801,40,81839
246,808,40.4,82640
247,814,40.7,83448
248,821,41,84262
249,828,41.4,85083
250,836,41.8,85911
251,843,42.1,86747
252,850,42.5,87590
253,857,42.9,88440
254,865,43.2,89297
255,872,43.6,90162
256,879,44,91034
257,887,44.4,91913
258,895,44.8,92800
259,902,45.1,93695
260,910,45.5,94597
261,918,45.9,95507
262,926,46.3,96425
263,933,46.6,97351
264,941,47,98284
265,950,47.5,99225
266,958,47.9,100175
267,966,48.3,101133
268,974,48.7,102099
269,982,49.1,103073
270,991,49.5,104055
271,999,50,105046
272,1008,50.4,106045
273,1017,50.9,107053
274,1025,51.2,108070
275,1034,51.7,109095
276,1043,52.1,110129
277,1052,52.6,111172
278,1061,53,112224
279,1070,53.5,113285
280,1079,54,114355
281,1088,54.4,115434
282,1098,54.9,116522
283,1107,55.4,117620
284,1116,55.8,118727
285,1126,56.3,119843
286,1136,56.8,120969
287,1145,57.2,122105
288,1155,57.8,123250
289,1165,58.2,124405
290,1175,58.8,125570
291,1185,59.2,126745
292,1195,59.8,127930
293,1206,60.3,129125
294,1216,60.8,130331
295,1226,61.3,131547
296,1237,61.9,132773
297,1247,62.4,134010
298,1258,62.9,135257
299,1269,63.5,136515
300,1280,64,137784
301,1291,64.5,139064
302,1302,65.1,140355
303,1313,65.7,141657
304,1324,66.2,142970
305,1335,66.8,144294
306,1347,67.3,145629
307,1358,67.9,146976
308,1370,68.5,148334
309,1382,69.1,149704
310,1394,69.7,151086
311,1405,70.2,152480
312,1418,70.9,153885
313,1430,71.5,155303
314,1442,72.1,156733
315,1454,72.7,158175
316,1467,73.3,159629
317,1479,74,161096
318,1492,74.6,162575
319,1505,75.2,164067
320,1518,75.9,165572
321,1531,76.5,167090
322,1544,77.2,168621
323,1557,77.8,170165
324,1570,78.5,171722
325,1584,79.2,173292
326,1597,79.8,174876
327,1611,80.5,176473
328,1625,81.2,178084
329,1639,82,179709
330,1653,82.7,181348
331,1667,83.3,183001
332,1681,84,184668
333,1695,84.8,186349
334,1710,85.5,188044
335,1725,86.2,189754
336,1739,87,191479
337,1754,87.7,193218
338,1769,88.5,194972
339,1784,89.2,196741
340,1800,90,198525
341,1815,90.8,200325
342,1831,91.5,202140
343,1846,92.3,203971
344,1862,93.1,205817
345,1878,93.9,207679
346,1894,94.7,209557
347,1910,95.5,211451
348,1927,96.3,213361
349,1943,97.2,215288
350,1960,98,217231
351,1977,98.8,219191
352,1994,99.7,221168
353,2011,100.5,223162
354,2028,101.4,225173
355,2045,102.2,227201
356,2063,103.2,229246
357,2080,104,231309
358,2098,104.9,233389
359,2116,105.8,235487
360,2134,106.7,237603
361,2153,107.7,239737
362,2171,108.5,241890
363,2190,109.5,244061
364,2208,110.4,246251
365,2227,111.3,248459
366,2246,112.3,250686
367,2266,113.3,252932
368,2285,114.2,255198
369,2305,115.2,257483
370,2324,116.2,259788
371,2344,117.2,262112
372,2364,118.2,264456
373,2384,119.2,266820
374,2405,120.2,269204
375,2425,121.2,271609
376,2446,122.3,274034
377,2467,123.3,276480
378,2488,124.4,278947
379,2510,125.5,281435
380,2531,126.5,283945
381,2553,127.7,286476
382,2575,128.8,289029
383,2597,129.8,291604
384,2619,130.9,294201
385,2641,132.1,296820
386,2664,133.2,299461
387,2687,134.3,302125
388,2710,135.5,304812
389,2733,136.7,307522
390,2756,137.8,310255
391,2780,139,313011
392,2804,140.2,315791
393,2828,141.4,318595
394,2852,142.6,321423
395,2876,143.8,324275
396,2901,145.1,327151
397,2926,146.3,330052
398,2951,147.6,332978
399,2976,148.8,335929
400,3002,150.1,338905
401,3027,151.3,341907
402,3053,152.7,344934
403,3079,153.9,347987
404,3106,155.3,351066
405,3132,156.6,354172
406,3159,157.9,357304
407,3186,159.3,360463
408,3214,160.7,363649
409,3241,162.1,366863
410,3269,163.4,370104
411,3297,164.8,373373
412,3325,166.2,376670
413,3354,167.7,379995
414,3382,169.1,383349
415,3411,170.6,386731
416,3440,172,390142
417,3470,173.5,393582
418,3500,175,397052
419,3530,176.5,400552
420,3560,178,404082
421,3590,179.5,407642
422,3621,181.1,411232
423,3652,182.6,414853
424,3683,184.2,418505
425,3715,185.8,422188
426,3747,187.3,425903
427,3779,188.9,429650
428,3811,190.6,433429
429,3844,192.2,437240
430,3877,193.8,441084
431,3910,195.5,444961
432,3943,197.2,448871
433,3977,198.8,452814
434,4011,200.6,456791
435,4045,202.2,460802
436,4080,204,464847
437,4115,205.8,468927
438,4150,207.5,473042
439,4186,209.3,477192
440,4222,211.1,481378
441,4258,212.9,485600
442,4294,214.7,489858
443,4331,216.6,494152
444,4368,218.4,498483
445,4405,220.2,502851
446,4443,222.2,507256
447,4481,224.1,511699
448,4520,226,516180
449,4558,227.9,520700
450,4597,229.8,525258
451,4637,231.8,529855
452,4676,233.8,534492
453,4716,235.8,539168
454,4757,237.8,543884
455,4797,239.8,548641
456,4839,241.9,553438
457,4880,244,558277
458,4922,246.1,563157
459,4964,248.2,568079
460,5006,250.3,573043
461,5049,252.4,578049
462,5093,254.7,583098
463,5136,256.8,588191
464,5180,259,593327
465,5224,261.2,598507
466,5269,263.4,603731
467,5314,265.7,609000
468,5360,268,614314
469,5406,270.3,619674
470,5452,272.6,625080
471,5499,274.9,630532
472,5546,277.3,636031
473,5593,279.6,641577
474,5641,282.1,647170
475,5689,284.4,652811
476,5738,286.9,658500
477,5787,289.4,664238
478,5837,291.9,670025
479,5887,294.4,675862
480,5937,296.9,681749
481,5988,299.4,687686
482,6039,301.9,693674
483,6091,304.6,699713
484,6143,307.1,705804
485,6196,309.8,711947
486,6249,312.4,718143
487,6302,315.1,724392
488,6356,317.8,730694
489,6411,320.6,737050
490,6466,323.3,743461
491,6521,326.1,749927
492,6577,328.9,756448
493,6633,331.6,763025
494,6690,334.5,769658
495,6747,337.4,776348
496,6805,340.2,783095
497,6863,343.1,789900
498,6922,346.1,796763
499,6981,349.1,803685
500,7041,352.1,810666
501,7101,355.1,817707
502,7162,358.1,824808
503,7223,361.1,831970
504,7285,364.2,839193
505,7348,367.4,846478
506,7411,370.6,853826
507,7474,373.7,861237
508,7538,376.9,868711
509,7603,380.1,876249
510,7668,383.4,883852
511,7733,386.6,891520
512,7799,389.9,899253
513,7866,393.3,907052
514,7934,396.7,914918
515,8002,400.1,922852
516,8070,403.5,930854
517,8139,406.9,938924
518,8209,410.4,947063
519,8279,413.9,955272
520,8350,417.5,963551
521,8422,421.1,971901
522,8494,424.7,980323
523,8566,428.3,988817
524,8640,432,997383
525,8714,435.7,1006023
526,8788,439.4,1014737
527,8864,443.2,1023525
528,8939,446.9,1032389
529,9016,450.8,1041328
530,9093,454.6,1050344
531,9171,458.6,1059437
532,9250,462.5,1068608
533,9329,466.4,1077858
534,9409,470.4,1087187
535,9489,474.4,1096596
536,9570,478.5,1106085
537,9652,482.6,1115655
538,9735,486.8,1125307
539,9818,490.9,1135042
540,9902,495.1,1144860
541,9987,499.4,1154762
542,10073,503.6,1164749
543,10159,507.9,1174822
544,10246,512.3,1184981
545,10334,516.7,1195227
546,10422,521.1,1205561
547,10511,525.5,1215983
548,10601,530,1226494
549,10692,534.6,1237095
550,10784,539.2,1247787
551,10876,543.8,1258571
552,10969,548.5,1269447
553,11063,553.1,1280416
554,11158,557.9,1291479
555,11253,562.6,1302637
556,11350,567.5,1313890
557,11447,572.4,1325240
558,11545,577.2,1336687
559,11644,582.2,1348232
560,11743,587.1,1359876
561,11844,592.2,1371619
562,11945,597.2,1383463
563,12048,602.4,1395408
564,12151,607.5,1407456
565,12255,612.8,1419607
566,12360,618,1431862
567,12466,623.3,1444222
568,12572,628.6,1456688
569,12680,634,1469260
570,12789,639.5,1481940
571,12898,644.9,1494729
572,13008,650.4,1507627
573,13120,656,1520635
574,13232,661.6,1533755
575,13345,667.2,1546987
576,13460,673,1560332
577,13575,678.8,1573792
578,13691,684.5,1587367
579,13808,690.4,1601058
580,13927,696.4,1614866
581,14046,702.3,1628793
582,14166,708.3,1642839
583,14287,714.4,1657005
584,14410,720.5,1671292
585,14533,726.6,1685702
586,14658,732.9,1700235
587,14783,739.1,1714893
588,14910,745.5,1729676
589,15037,751.9,1744586
590,15166,758.3,1759623
591,15296,764.8,1774789
592,15427,771.4,1790085
593,15559,778,1805512
594,15692,784.6,1821071
595,15827,791.4,1836763
596,15962,798.1,1852590
597,16099,805,1868552
598,16237,811.9,1884651
599,16376,818.8,1900888
600,16516,825.8,1917264
601,16657,832.9,1933780
602,16800,840,1950437
603,16944,847.2,1967237
604,17089,854.5,1984181
605,17235,861.8,2001270
606,17383,869.1,2018505
607,17532,876.6,2035888
608,17682,884.1,2053420
609,17833,891.6,2071102
610,17986,899.3,2088935
611,18140,907,2106921
612,18295,914.8,2125061
613,18452,922.6,2143356
614,18610,930.5,2161808
615,18769,938.5,2180418
616,18930,946.5,2199187
617,19092,954.6,2218117
618,19255,962.8,2237209
619,19420,971,2256464
620,19586,979.3,2275884
621,19754,987.7,2295470
622,19923,996.1,2315224
623,20094,1004.7,2335147
624,20266,1013.3,2355241
625,20439,1022,2375507
626,20614,1030.7,2395946
627,20791,1039.5,2416560
628,20969,1048.5,2437351
629,21148,1057.4,2458320
630,21330,1066.5,2479468
631,21512,1075.6,2500798
632,21696,1084.8,2522310
633,21882,1094.1,2544006
634,22069,1103.5,2565888
635,22258,1112.9,2587957
636,22449,1122.5,2610215
637,22641,1132,2632664
638,22835,1141.8,2655305
639,23031,1151.5,2678140
640,23228,1161.4,2701171
641,23427,1171.3,2724399
642,23627,1181.3,2747826
643,23830,1191.5,2771453
644,24034,1201.7,2795283
645,24239,1212,2819317
646,24447,1222.3,2843556
647,24656,1232.8,2868003
648,24867,1243.3,2892659
649,25080,1254,2917526
650,25295,1264.8,2942606
651,25512,1275.6,2967901
652,25730,1286.5,2993413
653,25950,1297.5,3019143
654,26173,1308.7,3045093
655,26397,1319.8,3071266
656,26623,1331.2,3097663
657,26851,1342.5,3124286
658,27080,1354,3151137
659,27312,1365.6,3178217
660,27546,1377.3,3205529
661,27782,1389.1,3233075
662,28020,1401,3260857
663,28260,1413,3288877
664,28502,1425.1,3317137
665,28746,1437.3,3345639
666,28992,1449.6,3374385
667,29240,1462,3403377
668,29491,1474.5,3432617
669,29743,1487.2,3462108
670,29998,1499.9,3491851
671,30255,1512.8,3521849
672,30514,1525.7,3552104
673,30775,1538.8,3582618
674,31038,1551.9,3613393
675,31304,1565.2,3644431
676,31572,1578.6,3675735
677,31842,1592.1,3707307
678,32115,1605.8,3739149
679,32390,1619.5,3771264
680,32667,1633.3,3803654
681,32947,1647.3,3836321
682,33229,1661.5,3869268
683,33514,1675.7,3902497
684,33801,1690,3936011
685,34090,1704.5,3969812
